title,pleiades_uri,talbert_uri
Rome's World:  Rvsibricari Matidi(a)e,https://pleiades.stoa.org/places/295333,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1.html
Rome's World: Rvsippisir Mvnicipio,https://pleiades.stoa.org/places/295332,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace10.html
Rome's World: Berzeo,https://pleiades.stoa.org/places/311083,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace100.html
Rome's World: Avgvsta vindelicv̄,https://pleiades.stoa.org/places/118580,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1000.html
Rome's World: Ponione,https://pleiades.stoa.org/places/123112,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1001.html
Rome's World: Rapis,https://pleiades.stoa.org/places/118926,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1002.html
Rome's World: Navoae,https://pleiades.stoa.org/places/187488,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1003.html
Rome's World: Cambodvno,https://pleiades.stoa.org/places/187335,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1004.html
Rome's World: Escone,https://pleiades.stoa.org/places/187372,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1005.html
Rome's World: Abodiaco,https://pleiades.stoa.org/places/187242,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1006.html
Rome's World: Vrvsa,https://pleiades.stoa.org/places/187603,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1007.html
Rome's World: Bratananto,https://pleiades.stoa.org/places/118609,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1008.html
Rome's World: Isvnisca,https://pleiades.stoa.org/places/187426,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1009.html
Rome's World: Fons Camerata,https://pleiades.stoa.org/places/305079,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace101.html
Rome's World: Adenvm,https://pleiades.stoa.org/places/187516,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1010.html
Rome's World: Bedaio,https://pleiades.stoa.org/places/187309,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1011.html
Rome's World: Artobrige,https://pleiades.stoa.org/places/187295,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1012.html
Rome's World: Ivavo,https://pleiades.stoa.org/places/187432,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1013.html
Rome's World: Tarnantone,https://pleiades.stoa.org/places/187567,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1014.html
Rome's World: Laciacis,https://pleiades.stoa.org/places/187443,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1015.html
Rome's World: Tergolape,https://pleiades.stoa.org/places/187580,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1016.html
Rome's World: Tergolape,https://pleiades.stoa.org/places/187580,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1016.html
Rome's World: Clvnia,https://pleiades.stoa.org/places/187350,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1017.html
Rome's World: Magia,https://pleiades.stoa.org/places/187464,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1018.html
Rome's World: Lvria,https://pleiades.stoa.org/places/187357,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1019.html
Rome's World: Nobas Fvsciani,https://pleiades.stoa.org/places/311129,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace102.html
Rome's World: Lapidaria,https://pleiades.stoa.org/places/187446,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1020.html
Rome's World: Cvnvavrev,https://pleiades.stoa.org/places/187356,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1021.html
Rome's World: Tarvessedo,https://pleiades.stoa.org/places/187572,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1022.html
Rome's World: Clavenna,https://pleiades.stoa.org/places/187349,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1023.html
Rome's World: Como,https://pleiades.stoa.org/places/383627,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1024.html
Rome's World: Bergomvm,https://pleiades.stoa.org/places/383589,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1025.html
Rome's World: Adnovas,https://pleiades.stoa.org/places/187253,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1026.html
Rome's World: Abodiaco,https://pleiades.stoa.org/places/187242,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1006.html
