title,pleiades_uri,,tp_online_uri
TP-Online: Rusibricari Matidiae,https://pleiades.stoa.org/places/295333,,https://tp-online.ku.de/trefferanzeige_en.php?id=1
TP-Online: Rusippisir Municipium,https://pleiades.stoa.org/places/295332,,https://tp-online.ku.de/trefferanzeige_en.php?id=2
TP-Online: Berzeo,https://pleiades.stoa.org/places/311083,,https://tp-online.ku.de/trefferanzeige_en.php?id=3
TP-Online: Augusta uindelicum (Augusta Vindelicum),https://pleiades.stoa.org/places/118580,,https://tp-online.ku.de/trefferanzeige_en.php?id=4
TP-Online: Ponione (Pomone),https://pleiades.stoa.org/places/123112,,https://tp-online.ku.de/trefferanzeige_en.php?id=5
TP-Online: Rapis,https://pleiades.stoa.org/places/118926,,https://tp-online.ku.de/trefferanzeige_en.php?id=6
TP-Online: Navoae,https://pleiades.stoa.org/places/187488,,https://tp-online.ku.de/trefferanzeige_en.php?id=7
TP-Online: Camboduno,https://pleiades.stoa.org/places/187335,,https://tp-online.ku.de/trefferanzeige_en.php?id=8
TP-Online: Escone,https://pleiades.stoa.org/places/187372,,https://tp-online.ku.de/trefferanzeige_en.php?id=9
TP-Online: Abodiaco,https://pleiades.stoa.org/places/187242,,https://tp-online.ku.de/trefferanzeige_en.php?id=10
TP-Online: Vrvsa (Urusa),https://pleiades.stoa.org/places/187603,,https://tp-online.ku.de/trefferanzeige_en.php?id=11
TP-Online: Bratananio,https://pleiades.stoa.org/places/118609,,https://tp-online.ku.de/trefferanzeige_en.php?id=12
TP-Online: Isunisca,https://pleiades.stoa.org/places/187426,,https://tp-online.ku.de/trefferanzeige_en.php?id=13
TP-Online: Fons Camerata,https://pleiades.stoa.org/places/305079,,https://tp-online.ku.de/trefferanzeige_en.php?id=14
TP-Online: Adenvm (Adenum),https://pleiades.stoa.org/places/187516,,https://tp-online.ku.de/trefferanzeige_en.php?id=15
TP-Online: Bedaio,https://pleiades.stoa.org/places/187309,,https://tp-online.ku.de/trefferanzeige_en.php?id=16
TP-Online: Artobrige,https://pleiades.stoa.org/places/187295,,https://tp-online.ku.de/trefferanzeige_en.php?id=17
TP-Online: Ivavo,https://pleiades.stoa.org/places/187432,,https://tp-online.ku.de/trefferanzeige_en.php?id=18
TP-Online: Tarnantone,https://pleiades.stoa.org/places/187567,,https://tp-online.ku.de/trefferanzeige_en.php?id=19
TP-Online: Laciacis,https://pleiades.stoa.org/places/187443,,https://tp-online.ku.de/trefferanzeige_en.php?id=20
TP-Online: Tergolape,https://pleiades.stoa.org/places/187580,,https://tp-online.ku.de/trefferanzeige_en.php?id=21
TP-Online: Tergolape,https://pleiades.stoa.org/places/187580,,https://tp-online.ku.de/trefferanzeige_en.php?id=21
TP-Online: Clunia,https://pleiades.stoa.org/places/187350,,https://tp-online.ku.de/trefferanzeige_en.php?id=22
TP-Online: Magia,https://pleiades.stoa.org/places/187464,,https://tp-online.ku.de/trefferanzeige_en.php?id=23
TP-Online: Curia,https://pleiades.stoa.org/places/187357,,https://tp-online.ku.de/trefferanzeige_en.php?id=24
TP-Online: Nodas Fusciani,https://pleiades.stoa.org/places/311129,,https://tp-online.ku.de/trefferanzeige_en.php?id=25
TP-Online: Lapidaria,https://pleiades.stoa.org/places/187446,,https://tp-online.ku.de/trefferanzeige_en.php?id=26
TP-Online: Cunu aureu,https://pleiades.stoa.org/places/187356,,https://tp-online.ku.de/trefferanzeige_en.php?id=27
TP-Online: Tarvessedo,https://pleiades.stoa.org/places/187572,,https://tp-online.ku.de/trefferanzeige_en.php?id=28
TP-Online: Clauenna (Clavenna),https://pleiades.stoa.org/places/187349,,https://tp-online.ku.de/trefferanzeige_en.php?id=29
TP-Online: Como,https://pleiades.stoa.org/places/383627,,https://tp-online.ku.de/trefferanzeige_en.php?id=30
TP-Online: Bergomum,https://pleiades.stoa.org/places/383589,,https://tp-online.ku.de/trefferanzeige_en.php?id=31
TP-Online: Ad Novas,https://pleiades.stoa.org/places/187253,,https://tp-online.ku.de/trefferanzeige_en.php?id=32
TP-Online: Auodiaco,https://pleiades.stoa.org/places/187242,,https://tp-online.ku.de/trefferanzeige_en.php?id=33
TP-Online: Coveliacas,https://pleiades.stoa.org/places/187354,,https://tp-online.ku.de/trefferanzeige_en.php?id=34
TP-Online: Tarteno,https://pleiades.stoa.org/places/187505,,https://tp-online.ku.de/trefferanzeige_en.php?id=35
"TP-Online: (unnamed / illegible, no. 18)",,,https://tp-online.ku.de/trefferanzeige_en.php?id=36
TP-Online: Scarbia,https://pleiades.stoa.org/places/187540,,https://tp-online.ku.de/trefferanzeige_en.php?id=37
TP-Online: Vetonina,https://pleiades.stoa.org/places/194073,,https://tp-online.ku.de/trefferanzeige_en.php?id=38
TP-Online: Matreio,https://pleiades.stoa.org/places/187470,,https://tp-online.ku.de/trefferanzeige_en.php?id=39
TP-Online: Vepiteno,https://pleiades.stoa.org/places/187621,,https://tp-online.ku.de/trefferanzeige_en.php?id=40
TP-Online: Sublabione,https://pleiades.stoa.org/places/187561,,https://tp-online.ku.de/trefferanzeige_en.php?id=41
TP-Online: Ponte Drusi,https://pleiades.stoa.org/places/187518,,https://tp-online.ku.de/trefferanzeige_en.php?id=42
TP-Online: Tredente,https://pleiades.stoa.org/places/383804,,https://tp-online.ku.de/trefferanzeige_en.php?id=43
TP-Online: Sarnis,https://pleiades.stoa.org/places/393491,,https://tp-online.ku.de/trefferanzeige_en.php?id=44
TP-Online: Vennum,https://pleiades.stoa.org/places/383813,,https://tp-online.ku.de/trefferanzeige_en.php?id=45
TP-Online: Verona,https://pleiades.stoa.org/places/383816,,https://tp-online.ku.de/trefferanzeige_en.php?id=46
TP-Online: Milev Colonia,https://pleiades.stoa.org/places/305109,,https://tp-online.ku.de/trefferanzeige_en.php?id=47
TP-Online: Vicentia,https://pleiades.stoa.org/places/393513,,https://tp-online.ku.de/trefferanzeige_en.php?id=48
